Axial Force,Moment X,Moment Y,N.A. Depth,N.A. Angle,D_t,eps_s
1092.142700,-167.987808,19.234018,25.328152,170.000000,23.585970,-0.000241
1092.142700,-174.100403,-0.000032,24.017801,180.000000,21.559002,-0.000358
1092.142700,-167.987839,-19.233982,25.328150,190.000000,23.585968,-0.000241
1092.142700,-160.259903,-37.463749,25.950346,200.000000,24.896286,-0.000142
1092.142700,-149.565536,-51.683842,26.115797,210.000000,25.450142,-0.000089
1092.142700,-139.296158,-64.161049,25.656799,220.000000,25.230711,-0.000058
1092.142700,-122.751366,-77.624161,24.650644,230.000000,24.244656,-0.000058
1092.142700,-104.515648,-91.590279,23.021883,240.000000,22.521940,-0.000076
1092.142700,-82.080147,-105.721535,20.889568,250.000000,20.114906,-0.000130
1092.142700,-51.901352,-113.005333,18.601738,260.000000,17.096691,-0.000283
1092.142700,-0.000063,-118.566429,16.316702,270.000000,13.559004,-0.000592
1092.142700,51.901417,-113.005379,18.601740,280.000000,17.096697,-0.000283
1092.142700,82.080139,-105.721489,20.889572,290.000000,20.114910,-0.000130
1092.142700,104.515587,-91.590263,23.021887,300.000000,22.521940,-0.000076
1092.142700,122.751335,-77.624084,24.650650,310.000000,24.244658,-0.000058
1092.142700,139.296188,-64.161049,25.656797,320.000000,25.230709,-0.000058
1092.142700,149.565491,-51.683826,26.115797,330.000000,25.450142,-0.000089
1092.142700,160.259995,-37.463745,25.950344,340.000000,24.896284,-0.000142
1092.142700,167.987793,-19.233992,25.328150,350.000000,23.585966,-0.000241
1070.299805,188.058121,0.000031,23.459724,0.000000,21.559002,-0.000284
1070.299805,182.602676,19.421646,24.834761,10.000000,23.585966,-0.000176
